title,release_date,genres,year,director
Le Havre,2011-05-17,Drama Comedy,2011,Unknown
Irreversible,2002-05-22,Drama Thriller Crime Mystery,2002,Unknown
R100,2013-10-05,Comedy Drama,2013,Unknown
Rang De Basanti,2006-01-26,Drama,2006,Unknown
Animals,2014-05-15,Drama,2014,Unknown
Salvation Boulevard,2011-07-15,Comedy Thriller Action Drama,2011,Unknown
The Ten,2007-08-03,Comedy,2007,Unknown
A Room for Romeo Brass,1999-08-23,Drama Comedy Foreign,1999,Unknown
Headhunters,2011-08-04,Thriller Crime,2011,Unknown
Grabbers,2012-08-10,Science Fiction Comedy Thriller Horror,2012,Unknown
Saint Ralph,2004-09-11,Comedy Drama,2004,Unknown
Miss Julie,2014-09-07,Drama,2014,Unknown
Somewhere in Time,1980-10-02,Science Fiction Drama Fantasy Romance,1980,Unknown
Dum Maaro Dum,2011-04-22,Drama Action Crime Foreign,2011,Unknown
Insidious: Chapter 2,2013-09-12,Horror Thriller,2013,Unknown
Saw II,2005-10-28,Horror,2005,Unknown
10 Cloverfield Lane,2016-03-10,Thriller Science Fiction Drama,2016,Unknown
Jackass: The Movie,2002-10-21,Documentary Comedy,2002,Unknown
Lights Out,2016-07-21,Horror Thriller,2016,Unknown
Paranormal Activity 3,2011-10-19,Horror,2011,Unknown
Ouija,2014-10-24,Horror,2014,Unknown
A Nightmare on Elm Street 3: Dream Warriors,1987-02-27,Horror Thriller,1987,Unknown
Instructions Not Included,2013-07-20,Comedy Drama,2013,Unknown
Paranormal Activity 4,2012-10-17,Horror,2012,Unknown
The Robe,1953-09-16,Drama,1953,Unknown
The Return of the Pink Panther,1975-05-21,Comedy,1975,Unknown
Freddy's Dead: The Final Nightmare,1991-09-05,Horror Thriller Comedy,1991,Unknown
Monster,2003-11-16,Crime Drama,2003,Unknown
"20,000 Leagues Under the Sea",1954-12-23,Adventure Drama Science Fiction,1954,Unknown
Paranormal Activity: The Marked Ones,2014-01-01,Horror Thriller,2014,Unknown
The Elephant Man,1980-10-02,Drama History,1980,Unknown
Dallas Buyers Club,2013-09-07,Drama History,2013,Unknown
The Lazarus Effect,2015-01-29,Thriller Horror,2015,Unknown
Memento,2000-10-11,Mystery Thriller,2000,Unknown
Oculus,2013-09-08,Horror,2013,Unknown
Clerks II,2006-05-25,Comedy,2006,Unknown
Billy Elliot,2000-05-18,Drama Comedy Music,2000,Unknown
The Way Way Back,2013-06-06,Comedy Drama,2013,Unknown
House Party 2,1991-10-23,Comedy,1991,Unknown
The Man from Snowy River,1982-03-02,Family Drama Action Western Romance,1982,Unknown
Doug's 1st Movie,1999-03-26,Animation Family Comedy,1999,Unknown
The Apostle,1997-10-09,Drama,1997,Unknown
Mommie Dearest,1981-09-18,Drama,1981,Unknown
Our Idiot Brother,2011-08-26,Comedy Drama,2011,Unknown
Race,2016-02-19,Action Drama,2016,Unknown
The Players Club,1998-04-08,Drama,1998,Unknown
"As Above, So Below",2014-08-14,Horror Thriller,2014,Unknown
Addicted,2014-10-10,Drama Thriller,2014,Unknown
Eve's Bayou,1997-09-07,Drama,1997,Unknown
Still Alice,2014-12-05,Drama,2014,Unknown
The Egyptian,1954-08-25,History Drama,1954,Unknown
Nighthawks,1981-03-17,Action Crime Thriller,1981,Unknown
Friday the 13th Part VIII: Jason Takes Manhattan,1989-07-28,Horror Thriller,1989,Unknown
My Big Fat Greek Wedding,2002-02-22,Comedy Drama Romance,2002,Unknown
Spring Breakers,2013-01-24,Drama Crime,2013,Unknown
Halloween: The Curse of Michael Myers,1995-09-29,Horror Thriller,1995,Unknown
Y Tu Mamá También,2001-06-08,Drama Romance,2001,Unknown
Shaun of the Dead,2004-04-09,Horror Comedy,2004,Unknown
The Haunting of Molly Hartley,2008-10-31,Drama Horror,2008,Unknown
Lone Star,1996-06-21,Drama Mystery Romance,1996,Unknown
Halloween 4: The Return of Michael Myers,1988-10-21,Horror Thriller,1988,Unknown
April Fool's Day,1986-03-27,Horror Mystery,1986,Unknown
Diner,1982-04-02,Comedy Drama,1982,Unknown
Lone Wolf McQuade,1983-04-14,Action Crime Drama Romance Thriller Western,1983,Unknown
Apollo 18,2011-07-20,Horror Thriller Science Fiction,2011,Unknown
Sunshine Cleaning,2008-01-18,Comedy Drama,2008,Unknown
No Escape,2015-08-26,Action Thriller,2015,Unknown
The Beastmaster,1982-08-20,Action Fantasy,1982,Unknown
Solomon and Sheba,1959-12-25,Drama History Romance War,1959,Unknown
Fifty Shades of Black,2016-01-28,Romance Comedy,2016,Unknown
Not Easily Broken,2009-01-09,Drama Romance,2009,Unknown
A Farewell to Arms,1932-12-08,Drama Romance War,1932,Unknown
The Perfect Match,2016-03-11,Comedy Romance,2016,Unknown
Digimon: The Movie,2000-03-17,Fantasy Animation Science Fiction Family,2000,Unknown
Saved!,2004-01-21,Comedy Drama,2004,Unknown
The Barbarian Invasions,2003-05-21,Comedy Crime Drama,2003,Unknown
Robin and Marian,1976-03-11,Action Adventure Drama Romance,1976,Unknown
The Forsaken,2001-04-27,Action Adventure Horror Thriller,2001,Unknown
Force 10 from Navarone,1978-11-01,Action Adventure War Thriller,1978,Unknown
UHF,1989-07-21,Comedy,1989,Unknown
Grandma's Boy,2006-01-06,Comedy,2006,Unknown
Slums of Beverly Hills,1998-08-14,Comedy Drama,1998,Unknown
Once Upon a Time in the West,1968-12-21,Western,1968,Unknown
Made,2001-07-13,Action Comedy Thriller,2001,Unknown
Moon,2009-06-12,Science Fiction Drama,2009,Unknown
Keeping Up with the Steins,2006-05-12,Comedy,2006,Unknown
Sea Rex 3D: Journey to a Prehistoric World,2010-05-14,Documentary,2010,Unknown
The Sweet Hereafter,1997-05-14,Drama,1997,Unknown
Of Gods and Men,2010-05-18,Drama History,2010,Unknown
Bottle Shock,2008-08-06,Comedy Drama,2008,Unknown
Jekyll and Hyde ... Together Again,1982-11-10,Comedy Horror Science Fiction,1982,Unknown
Heavenly Creatures,1994-09-02,Drama Fantasy,1994,Unknown
90 Minutes in Heaven,2015-09-11,Drama,2015,Unknown
Everything Must Go,2010-10-15,Comedy Drama Romance,2010,Unknown
Zero Effect,1998-01-30,Comedy Crime Mystery Thriller,1998,Unknown
The Machinist,2004-02-09,Thriller Drama,2004,Unknown
Light Sleeper,1992-08-21,Drama Crime,1992,Unknown
Kill the Messenger,2014-10-09,Thriller Crime Drama Mystery,2014,Unknown
Rabbit Hole,2010-12-16,Drama,2010,Unknown
Party Monster,2003-09-05,Comedy Drama Crime,2003,Unknown
Green Room,2016-04-15,Horror Crime Thriller,2016,Unknown
The Oh in Ohio,2006-03-30,Comedy Drama Romance,2006,Unknown
Atlas Shrugged Part III: Who is John Galt?,2014-09-12,Drama Science Fiction Mystery,2014,Unknown
Bottle Rocket,1996-02-21,Comedy Crime Drama,1996,Unknown
Albino Alligator,1996-09-09,Crime Drama Thriller,1996,Unknown
"Gandhi, My Father",2007-08-03,Drama Foreign History,2007,Unknown
Standard Operating Procedure,2008-02-12,Documentary,2008,Unknown
Out of the Blue,1980-05-01,Drama,1980,Unknown
Tucker and Dale vs Evil,2010-01-22,Comedy Horror,2010,Unknown
"Lovely, Still",2008-01-01,Drama Romance,2008,Unknown
Tycoon,1947-12-27,Action Drama Romance,1947,Unknown
Desert Blue,1999-06-06,Comedy Drama,1999,Unknown
Decoys,2004-02-27,Horror Science Fiction Thriller,2004,Unknown
The Visit,2015-09-10,Horror Thriller,2015,Unknown
Redacted,2007-01-01,Drama War,2007,Unknown
Fascination,2004-10-13,Romance Thriller,2004,Unknown
Area 51,2015-05-15,Horror Thriller Science Fiction,2015,Unknown
Sleep Tight,2011-10-14,Thriller,2011,Unknown
The Cottage,2008-02-07,Horror Comedy Crime Thriller,2008,Unknown
Dead Like Me: Life After Death,2009-02-17,Drama Fantasy Comedy,2009,Unknown
Farce of the Penguins,2006-12-01,Comedy Documentary,2006,Unknown
Flying By,2009-01-01,Drama,2009,Unknown
Rudderless,2014-10-17,Music Drama Comedy,2014,Unknown
Henry & Me,2014-08-18,Family Animation,2014,Unknown
Christmas Eve,2015-12-04,Romance Comedy,2015,Unknown
We Have Your Husband,2011-11-12,TV Movie Crime Drama Thriller,2011,Unknown
Dying of the Light,2014-12-04,Thriller Drama,2014,Unknown
Born Of War,2013-12-05,Action Thriller War,2013,Unknown
Capricorn One,1977-12-10,Drama Action Thriller Science Fiction,1977,Unknown
Should've Been Romeo,2012-04-28,Comedy Drama,2012,Unknown
Running Forever,2015-10-27,Family,2015,Unknown
Yoga Hosers,2016-07-08,Comedy Fantasy Horror Thriller,2016,Unknown
Navy Seals vs. Zombies,2015-10-08,Horror Action,2015,Unknown
I Served the King of England,2006-12-19,Comedy Drama,2006,Unknown
Soul Kitchen,2009-09-09,Drama Comedy,2009,Unknown
Sling Blade,1996-08-30,Drama,1996,Unknown
The Awakening,2011-08-17,Horror Thriller,2011,Unknown
Hostel,2005-01-06,Horror,2005,Unknown
A Cock and Bull Story,2005-07-17,Comedy Drama,2005,Unknown
Take Shelter,2011-11-25,Thriller Drama,2011,Unknown
Lady in White,1988-04-22,Horror Thriller,1988,Unknown
Driving Lessons,2006-04-30,Drama Comedy,2006,Unknown
Let's Kill Ward's Wife,2014-12-23,Comedy,2014,Unknown
The Texas Chainsaw Massacre 2,1986-08-22,Horror,1986,Unknown
Pat Garrett & Billy the Kid,1973-05-23,Western,1973,Unknown
Only God Forgives,2013-05-30,Drama Thriller Crime,2013,Unknown
Camping Sauvage,2005-10-13,Drama Romance,2005,Unknown
Without Men,2011-06-29,Comedy Romance,2011,Unknown
Dear Frankie,2004-05-18,Drama Family,2004,Unknown
All Hat,2007-09-11,Action Comedy Drama Western,2007,Unknown
The Names of Love,2010-11-24,Drama Comedy Romance,2010,Unknown
Treading Water,2013-09-13,Drama Comedy,2013,Unknown
Savage Grace,2007-05-18,Drama,2007,Unknown
Out of the Blue,2006-10-12,Drama,2006,Unknown
Police Academy,1984-03-22,Comedy Crime,1984,Unknown
The Blue Lagoon,1980-07-05,Romance Adventure Drama,1980,Unknown
Four Weddings and a Funeral,1994-03-09,Comedy Drama Romance,1994,Unknown
Fast Times at Ridgemont High,1982-08-13,Comedy,1982,Unknown
Moby Dick,1956-06-27,Adventure Drama,1956,Unknown
25th Hour,2002-12-16,Crime Drama,2002,Unknown
Bound,1996-09-13,Crime Drama Romance Thriller,1996,Unknown
Requiem for a Dream,2000-10-27,Crime Drama,2000,Unknown
State Fair,1945-08-29,Music Romance,1945,Unknown
Tango,1998-02-12,Drama Foreign Romance,1998,Unknown
Salvador,1986-04-23,Drama,1986,Unknown
Moms' Night Out,2014-03-25,Comedy,2014,Unknown
Donnie Darko,2001-01-18,Fantasy Drama Mystery,2001,Unknown
Saving Private Perez,2011-03-18,Action Comedy Foreign,2011,Unknown
Character,1997-04-17,Drama Foreign History,1997,Unknown
Spun,2002-06-01,Comedy Crime Drama,2002,Unknown
Life During Wartime,2009-10-10,Comedy Drama,2009,Unknown
Sympathy for Lady Vengeance,2005-07-29,Drama Thriller,2005,Unknown
Mozart's Sister,2010-06-09,Drama,2010,Unknown
Mean Machine,2001-12-26,Comedy Drama,2001,Unknown
Exiled,2006-09-06,Action Crime Thriller,2006,Unknown
Blackthorn,2011-08-31,Adventure Action Western,2011,Unknown
Lilya 4-ever,2002-08-23,Crime Drama,2002,Unknown
After.Life,2010-04-09,Drama Horror Mystery Thriller,2010,Unknown
Fugly,2014-06-13,Comedy Drama Thriller,2014,Unknown
One Flew Over the Cuckoo's Nest,1975-11-18,Drama,1975,Unknown
R.L. Stine's Monsterville: The Cabinet of Souls,2015-09-29,Comedy Horror,2015,Unknown
Silent Movie,1976-06-17,Comedy,1976,Unknown
Airlift,2016-01-22,Thriller Action Drama History,2016,Unknown
Anne of Green Gables,1985-12-01,Drama Family,1985,Unknown
Falcon Rising,2014-09-05,Adventure Action,2014,Unknown
The Sweeney,2012-09-11,Action Drama Crime,2012,Unknown
Sexy Beast,2000-09-13,Crime Drama Thriller,2000,Unknown
Easy Money,2010-01-15,Drama Thriller Crime,2010,Unknown
Whale Rider,2003-01-30,Drama Family,2003,Unknown
Paa,2009-12-04,Drama Family Foreign,2009,Unknown
Cargo,2009-09-24,Thriller Mystery Science Fiction,2009,Unknown
High School Musical,2006-01-20,Comedy Drama Family Music TV Movie,2006,Unknown
Love and Death on Long Island,1997-01-01,Drama Romance Foreign,1997,Unknown
Night Watch,2004-06-27,Fantasy Action Thriller,2004,Unknown
The Crying Game,1992-09-02,Romance Crime Drama Thriller,1992,Unknown
Porky's,1981-11-13,Comedy,1981,Unknown
Survival of the Dead,2010-05-06,Horror Science Fiction,2010,Unknown
Night of the Living Dead,1968-10-01,Horror,1968,Unknown
Lost in Translation,2003-08-31,Drama,2003,Unknown
Annie Hall,1977-04-19,Comedy Drama Romance,1977,Unknown
The Greatest Show on Earth,1952-01-10,Action Drama Romance,1952,Unknown
Monster's Ball,2001-11-11,Drama Romance,2001,Unknown
Maggie,2015-05-08,Horror,2015,Unknown
Leaving Las Vegas,1995-10-27,Drama Romance,1995,Unknown
Hansel and Gretel Get Baked,2013-02-19,Horror Comedy,2013,Unknown
The Front Page,1974-12-01,Romance Drama Comedy,1974,Unknown
The Boy Next Door,2015-01-23,Thriller,2015,Unknown
Trapeze,1956-05-30,Drama,1956,Unknown
The Kids Are All Right,2010-07-09,Comedy Drama,2010,Unknown
They Live,1988-11-23,Action Horror Science Fiction Thriller,1988,Unknown
The Great Escape,1963-06-20,Adventure Drama History Thriller War,1963,Unknown
What the #$*! Do We (K)now!?,2004-04-23,Documentary,2004,Unknown
The Last Exorcism Part II,2013-02-28,Horror Thriller,2013,Unknown
Boyhood,2014-06-05,Drama,2014,Unknown
Scoop,2006-07-27,Comedy Mystery,2006,Unknown
The Wash,2001-11-16,Action Comedy,2001,Unknown
3 Strikes,2000-03-01,Action Comedy Romance,2000,Unknown
The Cooler,2003-01-17,Drama Romance,2003,Unknown
The Misfits,1961-01-01,Drama Action Romance,1961,Unknown
The Night Listener,2006-02-12,Drama Thriller,2006,Unknown
The Jerky Boys,1995-02-03,Comedy Crime,1995,Unknown
The Orphanage,2007-08-27,Horror Drama Thriller,2007,Unknown
A Haunted House 2,2014-04-17,Comedy Horror,2014,Unknown
The Rules of Attraction,2002-10-11,Comedy Drama Romance,2002,Unknown
Topaz,1969-12-18,Action Drama Mystery Thriller,1969,Unknown
Let's Go to Prison,2006-11-17,Comedy Crime,2006,Unknown
Four Rooms,1995-12-09,Crime Comedy,1995,Unknown
Secretary,2002-01-11,Comedy Drama Romance,2002,Unknown
The Real Cancun,2003-04-23,Documentary,2003,Unknown
Talk Radio,1988-12-21,Drama,1988,Unknown
Waiting for Guffman,1996-01-31,Music Comedy,1996,Unknown
Love Stinks,1999-09-10,Comedy Romance,1999,Unknown
You Kill Me,2007-02-09,Comedy Crime Thriller Romance,2007,Unknown
Thumbsucker,2005-01-23,Comedy Drama,2005,Unknown
Red State,2011-08-19,Horror Action Thriller,2011,Unknown
Mirrormask,2005-01-25,Fantasy,2005,Unknown
Samsara,2011-09-16,Drama Documentary,2011,Unknown
The Barbarians,1987-03-01,Fantasy Adventure,1987,Unknown
The Art of Getting By,2011-06-17,Drama Romance,2011,Unknown
Zipper,2015-08-28,Thriller Drama,2015,Unknown
Poolhall Junkies,2002-06-07,Comedy Drama Thriller,2002,Unknown
The Loss of Sexual Innocence,1999-04-29,Drama,1999,Unknown
Holy Motors,2012-07-02,Drama Fantasy,2012,Unknown
Joe,2014-04-11,Drama,2014,Unknown
Shooting Fish,1997-08-22,Crime Comedy Romance,1997,Unknown
Prison,1988-03-04,Crime Drama Horror Thriller,1988,Unknown
Psycho Beach Party,2000-08-06,Comedy,2000,Unknown
The Big Tease,1999-01-01,Comedy Foreign,1999,Unknown
"Guten Tag, Ramón",2013-10-18,Drama,2013,Unknown
Trust,2010-09-10,Crime Drama Thriller,2010,Unknown
An Everlasting Piece,2000-12-22,Comedy Crime,2000,Unknown
Among Giants,1998-06-24,Comedy Romance,1998,Unknown
Adore,2013-04-03,Drama,2013,Unknown
The Velocity of Gary,1999-07-16,Drama Romance,1999,Unknown
Mondays in the Sun,2002-09-27,Drama,2002,Unknown
Stake Land,2010-09-30,Drama Horror Action Thriller Science Fiction,2010,Unknown
The Last Time I Committed Suicide,1997-06-20,Drama,1997,Unknown
Futuro Beach,2014-05-01,Drama,2014,Unknown
Another Happy Day,2011-11-18,Comedy Drama,2011,Unknown
A Lonely Place to Die,2011-04-09,Adventure Action Thriller Crime,2011,Unknown
Nothing,2003-09-09,Comedy Fantasy Science Fiction,2003,Unknown
The Geographer Drank His Globe Away,2013-07-26,Drama,2013,Unknown
1776,1972-11-09,Drama Comedy History Music,1972,Unknown
Inescapable,2012-09-14,Thriller Romance,2012,Unknown
Hell's Angels,1930-11-15,Action Drama History,1930,Unknown
Purple Violets,2007-04-30,Comedy Drama Romance,2007,Unknown
The Veil,2016-04-21,Horror,2016,Unknown
The Loved Ones,2009-09-13,Horror,2009,Unknown
The Helpers,2012-10-27,Horror,2012,Unknown
How to Fall in Love,2012-07-21,Comedy Romance TV Movie,2012,Unknown
The Perfect Wave,2014-02-28,Romance Adventure Drama,2014,Unknown
A Man for All Seasons,1966-12-12,Drama History,1966,Unknown
Network,1976-11-01,Drama,1976,Unknown
Gone with the Wind,1939-12-15,Drama Romance War,1939,Unknown
Desert Dancer,2014-07-03,Drama,2014,Unknown
Major Dundee,1965-04-07,War Western,1965,Unknown
Annie Get Your Gun,1950-05-17,Action Comedy Music Romance Western,1950,Unknown
Four Lions,2010-05-07,Comedy Crime Drama,2010,Unknown
The House of Sand,2005-05-13,Drama,2005,Unknown
Defendor,2009-09-12,Drama Action Comedy Crime,2009,Unknown
The Pirate,1948-06-11,Music Romance,1948,Unknown
The Good Heart,2009-09-11,Drama Comedy Romance,2009,Unknown
The History Boys,2006-10-02,Comedy Drama,2006,Unknown
Midnight Cowboy,1969-05-25,Drama,1969,Unknown
The Full Monty,1997-08-13,Comedy,1997,Unknown
Airplane!,1980-07-02,Comedy,1980,Unknown
Chain of Command,2015-08-30,Thriller Adventure Action,2015,Unknown
Friday,1995-04-26,Comedy,1995,Unknown
Menace II Society,1993-05-26,Drama Action Crime,1993,Unknown
Creepshow 2,1987-05-01,Horror,1987,Unknown
The Ballad of Cable Hogue,1970-05-13,Action Comedy Western,1970,Unknown
In Cold Blood,1967-12-14,Crime Drama,1967,Unknown
The Nun's Story,1959-06-18,Drama,1959,Unknown
Harper,1966-02-23,Action Drama Thriller Crime Mystery,1966,Unknown
Frenzy,1972-05-25,Crime Drama Mystery Thriller,1972,Unknown
The Witch,2016-02-19,Mystery Horror,2016,Unknown
I Got the Hook Up,1998-05-27,Action Comedy,1998,Unknown
She's the One,1996-08-26,Comedy Romance,1996,Unknown
Gods and Monsters,1998-01-21,Drama,1998,Unknown
The Secret in Their Eyes,2009-08-13,Crime Drama Mystery Romance,2009,Unknown
Train,2008-10-16,Horror Thriller,2008,Unknown
Evil Dead II,1987-03-13,Horror Comedy Fantasy,1987,Unknown
Pootie Tang,2001-06-29,Action Comedy,2001,Unknown
Sharknado,2013-07-11,TV Movie Horror,2013,Unknown
The Other Conquest,1999-04-01,Drama Foreign,1999,Unknown
Troll Hunter,2010-10-29,Fantasy Horror,2010,Unknown
Ira & Abby,2006-01-01,Comedy Romance,2006,Unknown
Winter Passing,2006-02-07,Comedy Drama,2006,Unknown
D.E.B.S.,2004-01-21,Action,2004,Unknown
The Masked Saint,2016-01-08,Crime Action,2016,Unknown
The Betrayed,2008-09-27,Crime Drama Mystery Thriller,2008,Unknown
Taxman,1999-09-16,Action Crime Comedy Thriller,1999,Unknown
The Secret,2016-04-29,Drama,2016,Unknown
2:13,2009-04-25,Horror Thriller Mystery,2009,Unknown
"Batman: The Dark Knight Returns, Part 2",2013-01-18,Action Animation,2013,Unknown
Time to Choose,2015-09-04,Documentary,2015,Unknown
In the Name of the King III,2013-12-27,Action Adventure Drama Fantasy,2013,Unknown
Wicked Blood,2014-03-04,Action Drama Thriller,2014,Unknown
Stranded,2015-06-05,Drama,2015,Unknown
Lords of London,2014-01-06,Crime Mystery Thriller,2014,Unknown
High Anxiety,1977-12-25,Comedy Music,1977,Unknown
March of the Penguins,2005-01-26,Documentary Family,2005,Unknown
Margin Call,2011-09-28,Thriller Drama,2011,Unknown
August,2011-06-09,Drama,2011,Unknown
Choke,2008-09-26,Comedy Drama,2008,Unknown
Whiplash,2014-10-10,Drama,2014,Unknown
City of God,2002-02-05,Drama Crime,2002,Unknown
Human Traffic,1999-06-04,Comedy Drama,1999,Unknown
To Write Love on Her Arms,2015-03-13,Drama Music,2015,Unknown
The Dead Girl,2006-11-07,Mystery Drama Crime Thriller,2006,Unknown
The Hunt,2012-08-28,Drama,2012,Unknown
A Christmas Story,1983-11-18,Comedy Family,1983,Unknown
Bella,2006-09-09,Drama Romance,2006,Unknown
Class of 1984,1982-08-20,Action Drama Horror Crime Thriller,1982,Unknown
The Opposite Sex,2014-11-08,Comedy,2014,Unknown
Dreaming of Joseph Lees,1999-10-29,Romance Drama,1999,Unknown
The Class,2008-09-24,Drama,2008,Unknown
Rosemary's Baby,1968-06-12,Horror Drama Mystery,1968,Unknown
The Man Who Shot Liberty Valance,1962-04-22,Western,1962,Unknown
Adam,2009-07-29,Drama Romance,2009,Unknown
Maria Full of Grace,2004-01-18,Drama Thriller Crime,2004,Unknown
Beginners,2010-09-11,Drama Romance Comedy,2010,Unknown
Feast,2005-10-14,Action Comedy Horror,2005,Unknown
Animal House,1978-07-27,Comedy,1978,Unknown
Goldfinger,1964-09-17,Adventure Action Thriller,1964,Unknown
Antiviral,2012-09-19,Science Fiction Horror,2012,Unknown
It's a Wonderful Life,1946-12-20,Drama Family Fantasy,1946,Unknown
Trainspotting,1996-02-23,Drama Crime,1996,Unknown
The Original Kings of Comedy,2000-08-18,Comedy,2000,Unknown
Paranormal Activity 2,2010-10-20,Horror Thriller,2010,Unknown
Waking Ned,1998-09-15,Comedy Romance,1998,Unknown
Bowling for Columbine,2002-10-09,Documentary,2002,Unknown
Coming Home,2014-05-16,Drama,2014,Unknown
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985-10-31,Horror,1985,Unknown
A Room with a View,1985-12-13,Drama Romance,1985,Unknown
The Purge,2013-05-31,Science Fiction Horror Thriller,2013,Unknown
Sinister,2012-03-29,Horror Thriller Mystery,2012,Unknown
Martin Lawrence Live: Runteldat,2002-08-01,Comedy,2002,Unknown
Cat on a Hot Tin Roof,1958-02-17,Drama Romance,1958,Unknown
Beneath the Planet of the Apes,1970-05-01,Adventure Science Fiction Mystery,1970,Unknown
Air Bud,1997-08-01,Comedy Family Drama,1997,Unknown
Pokémon: Spell of the Unknown,2000-07-08,Adventure Fantasy Animation Action Family,2000,Unknown
Friday the 13th Part VI: Jason Lives,1986-08-01,Horror Mystery Thriller,1986,Unknown
The Bridge on the River Kwai,1957-10-02,Drama History War,1957,Unknown
Spaced Invaders,1990-04-27,Comedy Family Science Fiction,1990,Unknown
Family Plot,1976-04-09,Comedy Crime Thriller,1976,Unknown
The Apartment,1960-06-15,Comedy Drama Romance,1960,Unknown
Jason Goes to Hell: The Final Friday,1993-08-13,Fantasy Horror Thriller,1993,Unknown
Torn Curtain,1966-07-13,Mystery Thriller,1966,Unknown
Dave Chappelle's Block Party,2005-09-12,Comedy Documentary Music,2005,Unknown
Slow West,2015-04-16,Romance Thriller Western,2015,Unknown
Krush Groove,1985-10-25,Drama Music Romance,1985,Unknown
Next Day Air,2009-02-06,Action Comedy Crime,2009,Unknown
Elmer Gantry,1960-06-19,Drama,1960,Unknown
Judgment at Nuremberg,1961-12-01,Drama History,1961,Unknown
Trippin',1999-05-12,Comedy Romance,1999,Unknown
Red River,1948-08-26,Western,1948,Unknown
Phat Girlz,2006-01-01,Comedy Romance,2006,Unknown
Before Midnight,2013-04-05,Romance Drama,2013,Unknown
Teen Wolf Too,1987-11-20,Comedy Fantasy Family,1987,Unknown
Phantasm II,1988-07-08,Action Horror Science Fiction Thriller,1988,Unknown
Woman Thou Art Loosed,2004-09-30,Drama,2004,Unknown
Real Women Have Curves,2002-01-01,Comedy Drama,2002,Unknown
Water,2005-09-08,Drama Foreign Romance,2005,Unknown
East Is East,1999-05-14,Comedy,1999,Unknown
Whipped,2000-09-01,Comedy Romance,2000,Unknown
Kama Sutra - A Tale of Love,1996-09-11,Drama History Romance,1996,Unknown
Please Give,2010-01-22,Comedy Drama,2010,Unknown
Willy Wonka & the Chocolate Factory,1971-06-29,Family Fantasy,1971,Unknown
Warlock: The Armageddon,1993-05-01,Fantasy Horror Science Fiction,1993,Unknown
8 Heads in a Duffel Bag,1997-04-18,Comedy Crime,1997,Unknown
Days of Heaven,1978-09-13,Drama Romance,1978,Unknown
Thirteen Conversations About One Thing,2001-09-02,Drama,2001,Unknown
Jawbreaker,1999-01-30,Comedy,1999,Unknown
Basquiat,1996-08-09,Drama History,1996,Unknown
Frances Ha,2013-05-17,Comedy Drama,2013,Unknown
Tsotsi,2005-08-18,Crime Drama,2005,Unknown
Happiness,1998-10-16,Comedy Drama,1998,Unknown
DysFunktional Family,2003-04-04,Comedy Documentary,2003,Unknown
Tusk,2014-09-19,Comedy Horror,2014,Unknown
Oldboy,2003-01-01,Drama Thriller Mystery Action,2003,Unknown
Letters to God,2010-04-09,Action Drama Family Thriller,2010,Unknown
Hobo with a Shotgun,2011-05-06,Action Comedy Thriller,2011,Unknown
Compadres,2016-03-31,Action Comedy,2016,Unknown
Freeway,1996-08-23,Comedy Drama Thriller,1996,Unknown
Love's Abiding Joy,2006-10-06,TV Movie Action Drama Family,2006,Unknown
Fish Tank,2009-05-14,Drama,2009,Unknown
Damsels in Distress,2012-04-06,Comedy Romance,2012,Unknown
Creature,1998-05-17,Horror Science Fiction Thriller,1998,Unknown
Bachelorette,2012-08-06,Comedy Romance,2012,Unknown
Brave New Girl,2004-04-25,Drama Music Family,2004,Unknown
Tim and Eric's Billion Dollar Movie,2012-03-02,Comedy,2012,Unknown
Summer Storm,2004-09-02,Comedy Drama,2004,Unknown
Fort McCoy,2014-01-01,War Drama History,2014,Unknown
Chain Letter,2010-10-01,Horror Thriller,2010,Unknown
Just Looking,1999-10-21,Drama Comedy,1999,Unknown
The Divide,2011-03-13,Science Fiction,2011,Unknown
The Eclipse,2009-04-24,Drama Horror Romance,2009,Unknown
Demonic,2015-02-12,Thriller Horror,2015,Unknown
My Big Fat Independent Movie,2005-03-04,Comedy,2005,Unknown
The Deported,2010-06-15,Comedy Family,2010,Unknown
Tanner Hall,2009-09-14,Drama,2009,Unknown
Open Road,2013-04-12,Action Drama Thriller,2013,Unknown
They Came Together,2014-06-27,Comedy,2014,Unknown
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,2013-01-14,Comedy,2013,Unknown
Never Back Down 2: The Beatdown,2011-09-13,Drama Action,2011,Unknown
Point Blank,1967-08-30,Action Crime Drama Thriller,1967,Unknown
Four Single Fathers,2009-01-15,Drama Comedy,2009,Unknown
Enter the Dangerous Mind,2013-03-11,Thriller,2013,Unknown
Something Wicked,2014-04-04,Mystery Thriller,2014,Unknown
AWOL-72,2015-08-07,Thriller,2015,Unknown
Iguana,1988-04-01,,1988,Unknown
Chicago Overcoat,2009-10-10,Action Crime Thriller,2009,Unknown
Barry Munday,2010-03-13,Comedy Drama Romance,2010,Unknown
Central Station,1998-01-16,Drama,1998,Unknown
Pocketful of Miracles,1961-12-18,Comedy Drama,1961,Unknown
Close Range,2015-12-11,Crime Action,2015,Unknown
Boynton Beach Club,2005-08-05,Comedy Drama Romance,2005,Unknown
Amnesiac,2015-08-14,Thriller Mystery Drama Horror,2015,Unknown
